Longitude,Latitude,Address,City,Category,ClassificationOfCategories,Area
77.0444517,28.5082271,"Jaitpur, New Delhi, Delhi 110044, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Jaitpur
77.045023,28.5082278,*,South East Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Tughlakabad
77.045431,28.5090344,*,South Delhi,Stalking,Verbal Abuse,Khanpur
77.045751,28.5093584,"D-301, Deoli Rd, Pocket C, Duggal Colony, Khanpur, New Delhi, Delhi 110062, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Khanpur
77.046048,28.5095022,"Eastern Ave, Block F, Sainik Farms Colony, Sainik Farm, New Delhi, Delhi 110062, India",South East Delhi,Sexual Invites,Verbal Abuse,Sainik Farm
77.046076,28.5095446,"Saurabh Vihar, Jaitpur, New Delhi, Delhi 110044, India",South Delhi,Commenting,Verbal Abuse,Jaitpur
77.046301,28.5097706,"Freedom Fighter Enclave Rd, Neb Sarai, Sainik Farm, New Delhi, Delhi, India",South East Delhi,Indecent Exposure/Masturbation in public,Non-Verbal Abuse,Sainik Farm
77.046372,28.5099937,"Sangam Vihar, New Delhi, Delhi 110062, India",South Delhi,Commenting,Verbal Abuse,Sangam Vihar
77.046455,28.5101237,"Khadda Colony, Jaitpur, New Delhi, Delhi 110044, India",South Delhi,Commenting,Verbal Abuse,Jaitpur
77.046539,28.5102495,*,South Delhi,Commenting,Verbal Abuse,Badarpur
77.046605,28.5102495,"Badarpur, New Delhi, Delhi, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Badarpur
77.046626,28.5102495,"Badarpur, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,Badarpur
77.046654,28.5120935,*,South Delhi,Stalking,Verbal Abuse,Sangam Vihar
77.0474364,28.5120935,*,South Delhi,Others,Others,Sangam Vihar
77.047811,28.5121156,"Mehrauli - Badarpur Rd, Dr.Ambedkar Nagar, Block E, Sector 5, Madangir, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,Madangir
77.048081,28.514283,"Mehrauli, New Delhi, Delhi, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Mehrauli
77.048117,28.514283,"Mehrauli, New Delhi, Delhi, India",South West Delhi,Commenting,Verbal Abuse,Mehrauli
77.048578,28.514317,"Paryavaran Complex, Sainik Farm, New Delhi, Delhi, India",South East Delhi,Petty Robbery,Physical Abuse,Sainik Farm
77.04925,28.5145871,"Ambedkar Nagar Depot Bus Stand, Mehrauli Badarpur Road, Khanpur Village, Khanpur, New Delhi, Delhi 110044, India",South Delhi,Commenting,Verbal Abuse,Khanpur
77.0492504,28.514598,"54C, Mehrauli - Badarpur Rd, Khanpur Village, Khanpur, New Delhi, Delhi 110062, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Khanpur
77.049271,28.5147691,"Rajokri Village, Harjokri, Rajokri, New Delhi, Delhi 110038, India",South West Delhi,Commenting,Verbal Abuse,Rajokri
77.049385,28.5164068,"sanjay camp, near dakshinpuri, new delhi",South Delhi,Rape / Sexual Assault,Physical Abuse,Dakshinpuri
77.049955,28.5166257,*,South Delhi,Stalking,Verbal Abuse,Dakshinpuri
77.0499762,28.5166257,*,South Delhi,Touching /Groping,Physical Abuse,Dakshinpuri
77.050008,28.5174168,"Buddha Park, JJ Colony, Block A, Sector 4, Madangir, New Delhi, Delhi 110044, India",South Delhi,Chain Snatching,Physical Abuse,Madangir
77.050404,28.518086,*,South Delhi,Commenting,Verbal Abuse,Dakshinpuri
77.0506261,28.5183848,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Dakshinpuri
77.0506896,28.5183848,*,South Delhi,Stalking,Verbal Abuse,Dakshinpuri
77.0508825,28.5183848,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.051031,28.5183848,*,South Delhi,Touching /Groping,Physical Abuse,Dakshinpuri
77.051384,28.518845,"Kishangarh, Vasant Kunj, New Delhi, Delhi 110016, India",South West Delhi,Commenting,Verbal Abuse,Vasant Kunj
77.051536,28.51918,"Saket, New Delhi, Delhi, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Saket
77.052481,28.51918,"Saket, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Saket
77.052848,28.51918,"Saket, New Delhi, Delhi, India",South Delhi,Chain Snatching,Physical Abuse,Saket
77.0528484,28.51918,"Saket, New Delhi, Delhi, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Saket
77.0530452,28.51918,"Saket, New Delhi, Delhi, India",South Delhi,Others,Others,Saket
77.0531633,28.51918,"Saket, New Delhi, Delhi, India",South Delhi,Taking pictures without permission,Non-Verbal Abuse,Saket
77.053285,28.51918,"Saket, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,Saket
77.053306,28.5193065,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.053328,28.5193065,Block C Dr. Ambedkar Nagar Madangir New Delhi Delhi 110062 India,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Madangir
77.053349,28.519358,"Block C, Sector 5, Dakshinpuri, New Delhi, Delhi 110062, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.053371,28.51946,"Neb Sarai, Block J, Saket, New Delhi, Delhi 110017, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Saket
77.053392,28.51946,"Neb Sarai, Saket, New Delhi, Delhi 110017, India",South Delhi,Commenting,Verbal Abuse,Saket
77.053568,28.5195375,*,South Delhi,Stalking,Verbal Abuse,Dakshinpuri
77.054272,28.5195375,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.054898,28.5196217,Mohan Estate Block B Mohan Cooperative Industrial Estate Badarpur New Delhi Delhi 110044 India,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Badarpur
77.0549901,28.519676,"Mohan Estate, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Badarpur
77.0550072,28.519922,Madangir New Delhi Delhi India,South Delhi,Commenting,Verbal Abuse,Madangir
77.0553126,28.519922,Madangir New Delhi Delhi India,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Madangir
77.0554468,28.519922,Madangir New Delhi Delhi India,South Delhi,Taking pictures without permission,Non-Verbal Abuse,Madangir
77.055817,28.519922,Madangir New Delhi Delhi India,South Delhi,Touching /Groping,Physical Abuse,Madangir
77.055818,28.519922,"Madangir, New Delhi, Delhi, India",South Delhi,Chain Snatching,Physical Abuse,Madangir
77.055846,28.5199221,"Madangir, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Madangir
77.05587,28.5199221,"Madangir, New Delhi, Delhi, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Madangir
77.0558702,28.5199221,"Madangir, New Delhi, Delhi, India",South Delhi,Taking pictures without permission,Non-Verbal Abuse,Madangir
77.056034,28.5199221,"Madangir, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,Madangir
77.056087,28.519996,*,South Delhi,Commenting,Verbal Abuse,Badarpur
77.056533,28.519996,*,South Delhi,Sexual Invites,Verbal Abuse,Badarpur
77.0573377,28.5202041,"Anuvrat Marg Opposite Qutub Minar Metro Station, Christian Colony, Mehrauli, New Delhi, Delhi 110030, India",South West Delhi,Taking pictures without permission,Non-Verbal Abuse,Mehrauli
77.0573605,28.5204637,"mehrauli, delhi",South West Delhi,Catcalls/Whistles,Verbal Abuse,Mehrauli
77.057395,28.520506,"Saket, Mehrauli - Badarpur Road, Saiyad ul Ajaib, Saiyad Ul Ajaib Village, Saket, New Delhi, Delhi 110030, India",South Delhi,Commenting,Verbal Abuse,Saket
77.05749,28.5205239,"Tughlakabad Extension, Tughlakabad, New Delhi, Delhi, India",South East Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Tughlakabad
77.057647,28.520574,"Mehrauli Badarpur Road, DDA Flats, Saket, New Delhi, Delhi 110044, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Saket
77.057743,28.520598,"Saket, Mehrauli Badarpur Road, Saiyad ul Ajaib, Saket, New Delhi, Delhi 110030, India",South Delhi,Commenting,Verbal Abuse,Saket
77.057885,28.520741,"Dakshinpuri, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Dakshinpuri
77.0578855,28.5208357,"Block H, Dr. Ambedkar Nagar, Madangir, New Delhi, Delhi 110062, India",South Delhi,Commenting,Verbal Abuse,Madangir
77.0578963,28.5208357,"Block H, Dr. Ambedkar Nagar, Madangir, New Delhi, Delhi 110062, India",South Delhi,Stalking,Verbal Abuse,Madangir
77.058199,28.5208357,"Block H, Dr. Ambedkar Nagar, Madangir, New Delhi, Delhi 110062, India",South Delhi,Taking pictures without permission,Non-Verbal Abuse,Madangir
77.058284,28.5208357,"Block H, Dr. Ambedkar Nagar, Madangir, New Delhi, Delhi 110062, India",South Delhi,Touching /Groping,Physical Abuse,Madangir
77.0583048,28.520836,Block H Dr. Ambedkar Nagar Madangir New Delhi Delhi 110062 India,South Delhi,Commenting,Verbal Abuse,Madangir
77.0583288,28.520836,Block H Dr. Ambedkar Nagar Madangir New Delhi Delhi 110062 India,South Delhi,Stalking,Verbal Abuse,Madangir
77.0586084,28.520836,Block H Dr. Ambedkar Nagar Madangir New Delhi Delhi 110062 India,South Delhi,Taking pictures without permission,Non-Verbal Abuse,Madangir
77.05881,28.520836,Block H Dr. Ambedkar Nagar Madangir New Delhi Delhi 110062 India,South Delhi,Touching /Groping,Physical Abuse,Madangir
77.059094,28.5210189,"New Rao Taxi Service, Ashok Vihar, Saket, New Delhi, Delhi 110017, India",North West Delhi,Commenting,Verbal Abuse,Ashok Vihar
77.0591447,28.521208,mehrauli delhi,South West Delhi,Catcalls/Whistles,Verbal Abuse,Mehrauli
77.059145,28.521215,rajokri bus stop,South West Delhi,Sexual Invites,Verbal Abuse,Rajokri
77.059207,28.521447,"Kapashera Border, Kapas Hera Extension, Kapashera, New Delhi, Delhi 110037",South West Delhi,Commenting,Verbal Abuse,Kapashera
77.059219,28.521447,"Kapashera Border, Kapas Hera Extension, Kapashera, New Delhi, Delhi 110037",South West Delhi,Indecent exposure,Non-Verbal Abuse,Kapashera
77.05948,28.5215102,*,South Delhi,Commenting,Verbal Abuse,Dakshinpuri
77.060016,28.5215102,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.0600221,28.5215102,*,South Delhi,Others,Others,Dakshinpuri
77.0600911,28.5215102,*,South Delhi,Touching /Groping,Physical Abuse,Dakshinpuri
77.060905,28.5217151,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Dakshinpuri
77.061327,28.5217151,*,South Delhi,Commenting,Verbal Abuse,Dakshinpuri
77.061336,28.5217151,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.061353,28.5220425,*,South Delhi,Stalking,Verbal Abuse,Dakshinpuri
77.061678,28.5220425,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.061738,28.5220425,*,South Delhi,Others,Others,Dakshinpuri
77.0629848,28.5220425,*,South Delhi,Rape / Sexual Assault,Physical Abuse,Dakshinpuri
77.063123,28.5220425,*,South Delhi,Taking pictures without permission,Non-Verbal Abuse,Dakshinpuri
77.063294,28.5220425,*,South Delhi,Touching /Groping,Physical Abuse,Dakshinpuri
77.0636419,28.5220971,"Saket, New Delhi, Delhi 110017, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Saket
77.063642,28.5220971,"Saket, New Delhi, Delhi 110017, India",South Delhi,Rape / Sexual Assault,Physical Abuse,Saket
77.06369,28.5226518,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Dakshinpuri
77.063702,28.5226518,*,South Delhi,Commenting,Verbal Abuse,Dakshinpuri
77.064154,28.5226518,*,South Delhi,Sexual Invites,Verbal Abuse,Dakshinpuri
77.0646,28.5226518,*,South Delhi,Stalking,Verbal Abuse,Dakshinpuri
77.064623,28.5226518,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.064732,28.5226518,*,South Delhi,Taking pictures without permission,Non-Verbal Abuse,Dakshinpuri
77.065104,28.5226518,*,South Delhi,Touching /Groping,Physical Abuse,Dakshinpuri
77.065171,28.5226518,Dakshinpuri New Delhi Delhi India,South Delhi,Indecent Exposure/Masturbation in public,Non-Verbal Abuse,Dakshinpuri
77.065179,28.5226518,"Dakshinpuri, New Delhi, Delhi 110044, India",South Delhi,Chain Snatching,Physical Abuse,Dakshinpuri
77.065214,28.5226518,"Dakshinpuri, New Delhi, Delhi, India",South Delhi,Indecent exposure,Non-Verbal Abuse,Dakshinpuri
77.065279,28.522809,*,South West Delhi,Commenting,Verbal Abuse,Mehrauli
77.065301,28.522809,"MARKET, Ward 2 Road, Ward No 1, Mehrauli Village, Mehrauli, New Delhi, Delhi 110016, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Mehrauli
77.0653064,28.522825,New Rao Taxi Service Ashok Vihar Saket New Delhi Delhi 110017 India,South Delhi,Commenting,Verbal Abuse,Saket
77.065343,28.522906,"Said Ul Ajaib Park, New Delhi, Delhi 110017, India",South West Delhi,Commenting,Verbal Abuse,Mehrauli
77.065713,28.523034,"Pocket I, Phase 1, Ashok Vihar, New Delhi, Delhi, India",North West Delhi,Catcalls/Whistles,Verbal Abuse,Ashok Vihar
77.065946,28.523642,"Sector 1, Pushp Vihar, New Delhi, Delhi 110017, India",South Delhi,Stalking,Verbal Abuse,Pushp Vihar
77.066222,28.523642,"Sector 1, Pushp Vihar, New Delhi, Delhi 110017, India",South Delhi,Touching /Groping,Physical Abuse,Pushp Vihar
77.066406,28.5236421,"Pushp Vihar, New Delhi, Delhi 110017, India",South Delhi,Touching /Groping,Physical Abuse,Pushp Vihar
77.06652,28.523695,"Qutub Minar Complex Rd, Seth Sarai, Mehrauli, New Delhi, Delhi 110016, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Mehrauli
77.0667,28.523896,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",South West Delhi,Commenting,Verbal Abuse,Lado Sarai
77.066866,28.523896,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",South West Delhi,Chain Snatching,Physical Abuse,Lado Sarai
77.067015,28.523896,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",South West Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Lado Sarai
77.067903,28.523896,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",South West Delhi,Others,Others,Lado Sarai
77.067949,28.523896,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",South West Delhi,Taking pictures without permission,Non-Verbal Abuse,Lado Sarai
77.069398,28.523896,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",South West Delhi,Touching /Groping,Physical Abuse,Lado Sarai
77.069502,28.523901,"Kapashera Village, Kapas Hera Estate, New Delhi, Delhi 110037, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Kapashera
77.0703152,28.5239157,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Lado Sarai
77.0706625,28.5239157,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",South West Delhi,Commenting,Verbal Abuse,Lado Sarai
77.070837,28.523938,Block D Saket New Delhi Delhi 110017 India,South Delhi,Stalking,Verbal Abuse,Saket
77.070953,28.5241083,"Block D, Saket, New Delhi, Delhi 110017, India",South Delhi,Stalking,Verbal Abuse,Saket
77.070961,28.5241205,*,South Delhi,Commenting,Verbal Abuse,Dakshinpuri
77.071,28.5241205,*,South Delhi,Stalking,Verbal Abuse,Dakshinpuri
77.071108,28.5241205,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dakshinpuri
77.071341,28.5241205,*,South Delhi,Touching /Groping,Physical Abuse,Dakshinpuri
77.071491,28.52427,"Government Boys Senior Secondary School, Shaheed Pankaj Wal Marg, Sector 1, Pushp Vihar, New Delhi, Delhi 110017, India",South Delhi,Chain Snatching,Physical Abuse,Pushp Vihar
77.071556,28.524428,Qutub Minar Complex Rd Seth Sarai Mehrauli New Delhi Delhi 110016 India,South West Delhi,Catcalls/Whistles,Verbal Abuse,Mehrauli
77.0718052,28.524459,"Qutub Minar, Seth Sarai, Mehrauli, New Delhi, Delhi 110030, India",South West Delhi,Taking pictures without permission,Non-Verbal Abuse,Mehrauli
77.0718971,28.524579,*,South Delhi,Taking pictures without permission,Non-Verbal Abuse,Saket
77.07206,28.524579,*,South Delhi,Touching /Groping,Physical Abuse,Saket
77.072246,28.524579,Saket New Delhi Delhi 110017 India,South Delhi,Catcalls/Whistles,Verbal Abuse,Saket
77.073066,28.524579,Saket New Delhi Delhi 110017 India,South Delhi,Rape / Sexual Assault,Physical Abuse,Saket
77.073611,28.524579,"Saket, New Delhi, Delhi, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Saket
77.073715,28.524805,Seth Sarai Mehrauli New Delhi Delhi India,South West Delhi,Sexual Invites,Verbal Abuse,Mehrauli
77.073797,28.525709,"Abdul Gaffar Khan Marg, Masoodpur, Vasant Kunj, New Delhi, Delhi 110067, India",Central Delhi,Catcalls/Whistles,Verbal Abuse,Karol Bagh
77.073803,28.525918,"Seth Sarai, Mehrauli, New Delhi, Delhi, India",South West Delhi,Chain Snatching,Physical Abuse,Mehrauli
77.073938,28.5259604,"Lado Sarai, New Delhi, Delhi, India",South West Delhi,Touching /Groping,Physical Abuse,Lado Sarai
77.074434,28.5261267,*,South West Delhi,Catcalls/Whistles,Verbal Abuse,Kapashera
77.074515,28.5261267,"Kapashera, New Delhi, Delhi, India",South West Delhi,Commenting,Verbal Abuse,Kapashera
77.0747941,28.5261267,"Kapashera, New Delhi, Delhi, India",South West Delhi,Sexual Invites,Verbal Abuse,Kapashera
77.0769524,28.5261267,"Kapashera, New Delhi, Delhi, India",South West Delhi,Chain Snatching,Physical Abuse,Kapashera
77.077768,28.5261267,kapashhera,South West Delhi,Others,Others,Kapashera
77.077944,28.526153,"Alaknanda Market, New Delhi, Delhi 110019, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Alaknanda
77.079174,28.5261535,Alaknanda Market New Delhi Delhi 110019 India,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Alaknanda
77.079675,28.52691,"Pocket 6, Sector D, Vasant Kunj, New Delhi, Delhi 110070, India",Central Delhi,Indecent exposure,Non-Verbal Abuse,Karol Bagh
77.0798302,28.527016,"Seth Sarai, Mehrauli, New Delhi, Delhi, India",South West Delhi,Sexual Invites,Verbal Abuse,Mehrauli
77.079966,28.527335,*,Central Delhi,Catcalls/Whistles,Verbal Abuse,Karol Bagh
77.0801899,28.527335,"D K Transport Service, D6, Sector D, Vasant Kunj, New Delhi, Delhi 110070, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Vasant Kunj
77.08019,28.527335,"Vasant Kunj, New Delhi, Delhi, India",Central Delhi,Commenting,Verbal Abuse,Karol Bagh
77.08064,28.527335,"Vasant Kunj, New Delhi, Delhi, India",Central Delhi,Sexual Invites,Verbal Abuse,Karol Bagh
77.080864,28.527335,"Vasant Kunj, New Delhi, Delhi, India",Central Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Karol Bagh
77.080909,28.527335,"Vasant Kunj, New Delhi, Delhi, India",Central Delhi,Taking pictures without permission,Non-Verbal Abuse,Karol Bagh
77.081907,28.527782,"Bandalo Wala Mohalla, Lado Sarai, New Delhi, Delhi, Inde",South West Delhi,Catcalls/Whistles,Verbal Abuse,Lado Sarai
77.0822151,28.52784,"Pushpa Bhavan, Jahanpanah City Forest, New Delhi, Delhi 110044, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Pushpa Bhavan
77.082383,28.527926,"308,DLF South Court, Saket",South Delhi,Commenting,Verbal Abuse,Saket
77.082689,28.5281381,"Pocket 8, Sector D, Vasant Kunj, New Delhi, Delhi 110070, India",South West Delhi,Indecent exposure,Non-Verbal Abuse,Vasant Kunj
77.084641,28.528173,"Malviya Nagar Metro Station, Press Enclave Marg, Block A, Shivalik, Saket, New Delhi, Delhi 110017, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Saket
